HUMAN	AA	HA	HB	HC	HD	HE	HF	VA	VD	VF	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5
Bacteroides vulgatus	a11	9.31000 	8.76857 	7.23571 	11.11571 	10.88714 	9.18857 	7.53800 	9.75240 	14.31780 	0.69	0.73	3.4	14.73	11.79	2.63	31.2	0.5	9.5	5.94	24.14	12.81	5.05	3.44	0.24	1.31	4.83	18.48	2.41	0.11	23.27	1.07	6.6	3.2	27.03	12.39	8.11	19.41	1.38	2.08	7.71	28.68	6.61	8.11	21.64	1.71	9.62	5.43	14.27	2.68	2.16	28.45	16.71	1.392	7.92	3.978	7.69	20.765	1.151	11.24	10.705	4.901	25.238	1.498	10.66	26.639	7.554
Bacteroides xylanisolvens	a12	1.40000 	0.97571 	0.77571 	0.96857 	1.30286 	0.71429 	1.81900 	2.11660 	0.78320 	0.31	0.04	1.62	1.09	1.46	4	1.28	0.53	0.38	2.25	0.47	1.6	1.19	0.41	0.16	0.04	2.2	0.48	0.56	0.07	1.92	0.89	0.48	0.95	2.21	0.8	0.8	0.65	0.77	0.04	1.6	2.7	0.93	0.66	2.42	0.62	0.48	0.76	0.98	0.17	0.36	1.63	1.385	0.492	1.587	4.463	1.168	1.543	0.514	0.539	7.252	0.735	0.659	0.727	0.959	1.105	0.466
Bifidobacterium adolescentis	a13	1.05857 	0.62143 	1.52286 	1.15286 	0.69714 	0.99857 	0.57280 	0.32100 	0.12300 	0.04	3.55	0.57	0	0.02	3.22	0.01	0.06	2.32	0.08	0.01	0.01	1.86	0.01	0.18	0.37	0.48	0.01	0.01	9.6	0.01	0.04	1.8	2.28	0	0.01	3.93	0.01	0.04	0.26	0.65	0.01	0.01	3.9	0.01	0.04	0.37	0.92	0	0.14	5.51	0.01	0.024	2.617	0.126	0.003	0.094	0.025	1.01	0.46	0.005	0.105	0.007	0.579	0.007	0.01	0.012
Bifidobacterium animalis	a14	0.06857 	0.02571 	0.01143 	0.00429 	0.00286 	0.11571 	0.00300 	0.01840 	0.00580 	0.41	0.01	0.01	0.04	0	0.01	0	0.1	0.02	0	0.03	0.01	0.01	0.01	0.02	0.01	0	0.03	0	0.02	0	0	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0.8	0	0	0	0	0.01	0	0.005	0.004	0.003	0.001	0.002	0.004	0.005	0.005	0.002	0.076	0.005	0.008	0.008	0.002	0.006
Bifidobacterium bifidum	a15	1.45286 	1.41571 	1.10286 	0.56714 	0.54571 	0.80714 	0.04620 	0.02900 	0.00800 	0.04	4.96	0	3.46	0.01	1.37	0.33	0.04	1.96	0.01	4.7	0.01	0.71	2.48	0.16	0.96	0.01	3.33	0.01	3.24	0.01	0.04	1.71	0.01	1.02	0.01	1.15	0.03	0.02	1.37	0.01	1.07	0	0.98	0.37	0.02	0.37	0.01	1.88	0.04	3.01	0.32	0.006	0.087	0.062	0.003	0.073	0.013	0.079	0.031	0.007	0.015	0.003	0.01	0.007	0.009	0.011
Bifidobacterium breve	a16	0.11286 	0.10857 	0.10571 	0.07571 	0.02857 	0.06286 	0.04880 	0.04900 	0.02060 	0.09	0.53	0.02	0.09	0.02	0.03	0.01	0.1	0.34	0.01	0.2	0.02	0.02	0.07	0.31	0.09	0.02	0.19	0.02	0.09	0.02	0.1	0.26	0.03	0.04	0.02	0.03	0.05	0.04	0.05	0.02	0.03	0.01	0.03	0.02	0.04	0.08	0.02	0.07	0.16	0.05	0.02	0.026	0.024	0.153	0.011	0.03	0.009	0.023	0.096	0.026	0.091	0.006	0.021	0.025	0.026	0.025
Bifidobacterium catenulatum	a17	0.49286 	0.33857 	0.21429 	0.27000 	0.07143 	0.20571 	0.16800 	0.15560 	0.01160 	0.15	3.15	0.02	0.01	0.06	0.06	0	0.25	2.01	0.01	0.01	0.05	0.03	0.01	0.81	0.39	0.01	0.02	0.03	0.23	0.01	0.17	1.57	0.03	0.01	0.03	0.08	0	0.19	0.22	0.01	0.01	0.02	0.05	0	0.19	0.53	0.02	0.01	0.61	0.08	0	0.01	0.028	0.404	0.003	0.395	0.009	0.017	0.719	0.01	0.023	0.006	0.017	0.008	0.005	0.022
Bifidobacterium longum	a18	1.48571 	1.62143 	3.72714 	1.21714 	0.40286 	1.21714 	0.67560 	0.21400 	0.09240 	3.54	3.16	0.53	1.33	0.31	1.52	0.01	3.77	1.41	0.07	5.39	0.27	0.4	0.04	16.14	0.39	0.64	3.14	0.29	5.47	0.02	4.52	1.08	1.42	0.22	0.2	1.06	0.02	1.26	0.32	0.37	0.22	0.09	0.55	0.01	1.38	0.23	0.52	0.42	3.98	1.97	0.02	0.206	0.045	3.045	0.011	0.071	0.048	0.034	0.806	0.033	0.149	0.013	0.029	0.023	0.314	0.083
Bifidobacterium pseudocatenulatum	a19	4.21571 	2.92714 	2.37571 	2.34143 	0.66714 	1.97286 	1.75860 	1.88900 	0.04860 	2	26.35	0.12	0.01	0.66	0.37	0	3.31	16.45	0.02	0.01	0.5	0.19	0.01	11.31	3.2	0.07	0.01	0.33	1.7	0.01	2.27	13.08	0.15	0.01	0.33	0.54	0.01	2.51	1.78	0.04	0	0.16	0.18	0	2.47	4.14	0.12	0.01	6.66	0.4	0.01	0.02	0.03	4.447	0.002	4.294	0.043	0.02	9.345	0.021	0.016	0.024	0.049	0.008	0.005	0.157
Lactobacillus plantarum	a20	0.01571 	0.36571 	0.39286 	0.12286 	0.24571 	0.22571 	0.01200 	0.01200 	0.01200 	0.01	0.02	0.04	0.01	0.01	0.01	0.01	0.33	0.25	0.06	0.51	1.22	0.02	0.17	0.73	0.07	0.2	1.25	0.09	0.05	0.36	0.2	0.23	0.14	0.07	0.01	0.03	0.18	1.09	0.05	0.1	0.1	0.01	0.01	0.36	0.08	0.61	0.11	0.06	0.19	0.01	0.52	0.01	0.01	0.02	0.01	0.01	0.01	0	0.01	0.01	0.03	0.01	0.01	0.02	0.01	0.01
MOUSE	AA	MA	MB	MC	MD	ME	MF	YA	YD	YF	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5						
Bacteroides caccae	a01	0.19667 	0.23000 	1.14500 	1.83667 	1.18833 	0.71833 	0.23800 	0.55600 	0.18000 	0.19	0.14	0.18	0.2	0.24	0.23	0.25	0.2	0.3	0.24	0.22	0.17	0.23	0.16	2.63	3.23	0.28	0.34	0.18	0.18	2.95	3.09	2.31	2.31	0.29	0.17	2.2	2.17	1.14	1.16	0.27	0.3	0.88	1.03	0.97	0.86	0.22	0.2	0.28	0.22	0.27	0.18	0.85	0.22	0.21	1.32	0.18	0.21	0.21	0.15	0.15						
Bacteroides caecimuris	a02	1.01500 	0.98333 	5.27000 	8.69667 	5.83667 	3.53167 	1.29400 	2.91600 	1.02000 	0.95	0.69	1.19	1.14	1.06	1.06	0.97	0.91	1.11	0.91	1.14	0.86	1.11	0.7	12.4	15.47	0.92	1.02	0.8	1.02	13.94	14.64	10.91	10.87	1.48	1.23	11.09	10.5	5.32	5.4	1.49	1.88	4.33	4.94	4.53	4.02	1.02	1.03	1.7	1.24	1.48	1.04	4.5	1.3	1.29	6.45	0.76	1.06	1.31	0.97	1						
Bacteroides cellulosilyticus	a03	0.14000 	0.15000 	0.19500 	0.24333 	0.21000 	0.15167 	0.17200 	0.16800 	0.13600 	0.14	0.1	0.14	0.14	0.16	0.16	0.17	0.14	0.17	0.15	0.15	0.12	0.17	0.12	0.24	0.29	0.17	0.18	0.12	0.13	0.38	0.33	0.24	0.26	0.21	0.14	0.28	0.29	0.17	0.17	0.09	0.07	0.18	0.2	0.19	0.18	0.16	0.14	0.21	0.16	0.19	0.13	0.2	0.17	0.16	0.18	0.13	0.16	0.16	0.12	0.11						
Bacteroides dorei	a04	0.23333 	0.25333 	1.01833 	3.93667 	3.33000 	3.47333 	0.29600 	0.34400 	0.22200 	0.23	0.17	0.23	0.24	0.27	0.26	0.29	0.24	0.29	0.26	0.24	0.2	0.29	0.21	1.96	3.05	0.29	0.31	0.21	0.22	8.26	6.07	3.78	5.08	0.35	0.24	4.76	6.3	4.26	4.07	0.67	0.12	4.82	5.43	4.91	4.89	0.28	0.24	0.37	0.26	0.33	0.23	0.69	0.28	0.26	0.26	0.23	0.29	0.23	0.17	0.19						
Bacteroides fragilis	a05	1.75000 	1.87500 	1.95333 	2.14833 	2.03833 	1.46333 	2.10800 	1.87200 	1.58600 	1.67	1.24	1.75	1.85	2	1.99	2.15	1.76	2.18	1.81	1.84	1.51	2.03	1.41	1.94	2.4	1.91	2.03	1.54	1.59	3.05	2.65	1.91	2.15	2.62	1.75	2.32	2.46	1.56	1.52	0.98	0.99	1.67	1.84	1.68	1.62	1.95	1.72	2.55	2	2.32	1.69	2.13	1.91	1.95	1.68	1.58	1.82	1.92	1.37	1.24						
Bacteroides intestinalis	a06	0.15667 	0.17167 	0.21000 	0.26667 	0.23500 	0.17000 	0.19000 	0.18000 	0.15000 	0.15	0.11	0.14	0.16	0.19	0.19	0.2	0.16	0.2	0.17	0.16	0.14	0.19	0.13	0.24	0.3	0.19	0.21	0.14	0.14	0.42	0.36	0.25	0.29	0.25	0.15	0.29	0.32	0.2	0.2	0.09	0.07	0.2	0.23	0.22	0.21	0.18	0.16	0.23	0.17	0.21	0.15	0.21	0.19	0.17	0.18	0.16	0.19	0.16	0.12	0.12						
Bacteroides ovatus	a07	0.41667 	0.47667 	1.63833 	2.56000 	1.72667 	1.03167 	0.51200 	0.92000 	0.40400 	0.41	0.3	0.39	0.43	0.49	0.48	0.54	0.44	0.59	0.5	0.43	0.36	0.49	0.36	3.5	4.33	0.54	0.61	0.38	0.39	4.08	4.21	3.13	3.17	0.63	0.41	3.11	3.02	1.58	1.61	0.48	0.48	1.26	1.44	1.33	1.2	0.48	0.43	0.62	0.46	0.57	0.39	1.26	0.49	0.46	2	0.4	0.48	0.47	0.35	0.32						
Bacteroides salanitronis	a08	0.32000 	0.32000 	0.33167 	0.30667 	0.31167 	0.20667 	0.41400 	0.36200 	0.29400 	0.31	0.23	0.34	0.34	0.36	0.34	0.33	0.3	0.36	0.33	0.33	0.27	0.39	0.27	0.28	0.3	0.38	0.37	0.26	0.29	0.39	0.36	0.26	0.28	0.4	0.35	0.41	0.34	0.19	0.18	0.16	0.16	0.23	0.24	0.23	0.22	0.39	0.35	0.51	0.38	0.44	0.33	0.44	0.38	0.35	0.31	0.26	0.34	0.35	0.26	0.26						
Bacteroides thetaiotaomicron	a09	17.54833 	22.18833 	18.13833 	12.17333 	12.60500 	8.99333 	22.60000 	17.81200 	15.41600 	17.09	10.61	14.97	19.11	21.27	22.24	26.45	20.31	29.48	23.53	17.39	15.97	20.61	14.53	12.51	15.73	22.74	22.71	16.22	17.57	9.77	8.65	10.62	10.21	22.97	12.44	9.98	11.99	9.36	8.89	3.93	6.28	10.08	11.85	11.33	10.49	21.38	19.42	25.54	21.19	25.47	15.22	28.45	17.78	15.84	11.77	15.03	15.98	20.68	13.46	11.93						
Bacteroides uniformis	a10	0.71833 	0.75167 	0.74833 	0.59833 	0.65500 	0.38500 	0.94600 	0.82200 	0.66600 	0.71	0.54	0.74	0.74	0.82	0.76	0.82	0.7	0.87	0.8	0.72	0.6	0.94	0.65	0.54	0.57	0.89	0.9	0.6	0.63	0.75	0.68	0.46	0.47	0.96	0.81	0.87	0.65	0.32	0.32	0.4	0.3	0.42	0.41	0.4	0.38	0.87	0.78	1.2	0.84	1.04	0.72	0.96	0.88	0.77	0.78	0.64	0.84	0.7	0.52	0.63						
Bacteroides vulgatus	a11	0.34333 	0.36500 	1.58833 	6.13167 	5.15667 	5.44000 	0.40600 	0.51600 	0.33200 	0.32	0.24	0.34	0.35	0.42	0.39	0.4	0.34	0.41	0.35	0.38	0.31	0.4	0.28	3.1	4.84	0.43	0.48	0.3	0.31	12.79	9.44	5.99	7.96	0.52	0.36	7.34	9.73	6.67	6.32	1.13	0.32	7.49	8.45	7.61	7.64	0.38	0.33	0.5	0.38	0.44	0.35	1.04	0.39	0.39	0.41	0.33	0.39	0.37	0.27	0.3						
Bacteroides xylanisolvens	a12	0.12833 	0.15167 	1.33000 	2.30667 	1.45833 	0.84667 	0.14800 	0.58200 	0.11400 	0.12	0.09	0.12	0.13	0.16	0.15	0.15	0.13	0.2	0.16	0.15	0.12	0.15	0.1	3.25	4.06	0.19	0.23	0.11	0.11	3.8	3.96	2.92	2.94	0.18	0.12	2.84	2.78	1.4	1.43	0.3	0.33	1.07	1.24	1.13	1.01	0.14	0.12	0.18	0.14	0.16	0.12	0.87	0.14	0.13	1.65	0.11	0.13	0.14	0.1	0.09						
Bifidobacterium adolescentis	a13	0.00333 	0.00833 	0.00500 	0.00167 	0.00167 	0.00000 	0.00600 	0.00600 	0.00400 	0	0.01	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0	0	0	0.01	0.01						
Bifidobacterium animalis	a14	0.03000 	0.01333 	0.01167 	0.01500 	0.01333 	0.01500 	0.02200 	0.01800 	0.01800 	0.01	0.02	0.04	0.05	0.03	0.03	0.01	0	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.04	0.01	0.03	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02						
Bifidobacterium bifidum	a15	0.01167 	0.01333 	0.01167 	0.01167 	0.01000 	0.00333 	0.01000 	0.01400 	0.01400 	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02						
Bifidobacterium breve	a16	0.02000 	0.02167 	0.01833 	0.02000 	0.01833 	0.01000 	0.01800 	0.02200 	0.02400 	0.02	0.03	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.01	0.01	0.02	0.02	0.03	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.02	0.03	0.03						
Bifidobacterium catenulatum	a17	0.00833 	0.00667 	0.00500 	0.00333 	0.00167 	0.00000 	0.01000 	0.00600 	0.01000 	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01						
Bifidobacterium longum	a18	0.01833 	0.02167 	0.01833 	0.01667 	0.01833 	0.01167 	0.02000 	0.02200 	0.01800 	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.03	0.03	0.02	0.01	0.02	0.02	0.02	0.02						
Bifidobacterium pseudocatenulatum	a19	0.00667 	0.00833 	0.00333 	0.00667 	0.00500 	0.00000 	0.00600 	0.00800 	0.01000 	0.01	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01						
Lactobacillus plantarum	a20	0.01333 	0.33833 	0.44000 	0.09000 	0.10667 	0.07333 	0.00600 	0.00400 	0.00600 	0.01	0.01	0.01	0.01	0.02	0.02	0.15	0.19	0.37	0.26	0.36	0.7	0.26	1.56	0.16	0.06	0.52	0.08	0.19	0.13	0.04	0.07	0.02	0.09	0.1	0.11	0.31	0.03	0.03	0.06	0.07	0.16	0.07	0.05	0.05	0.04	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0.01	0	0.01	0						
