Species	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
Bacteroides helcogenes	0.08	0	0.28	0.06	0.53	0.48	0.35	0.06	0.14	0.39	0.02	0.57	0.32	0.04	0.03	0	0.33	0.02	0.24	0.02	0.26	0.17	0.18	0.17	0.11	0.43	0.54	0.09	0.13	0.01	0.36	0.07	0.74	0.22	0.22	0.11	0.37	0.28	0.05	0.07	0.08	0.1	0.707	0.319	0.064	0.826	0.779	0.276	0.316	0.333	0.368	0.205	0.601	0.285	0.207	1.217	0.393	0.13	0.1	0.14	0.15	0.17	0.16	0.16	0.14	0.17	0.14	0.15	0.12	0.16	0.12	0.18	0.21	0.17	0.17	0.12	0.12	0.25	0.23	0.17	0.19	0.2	0.14	0.21	0.2	0.12	0.12	0.08	0.08	0.13	0.13	0.13	0.12	0.16	0.15	0.2	0.16	0.18	0.13	0.19	0.16	0.15	0.16	0.12	0.15	0.16	0.12	0.1
Bacteroides cellulosilyticus	0.24	0.01	0.7	0.07	1.31	3.51	0.54	0.3	0.19	1.03	0.03	0.8	2.13	0.08	0.08	0.02	0.99	0.03	0.31	0.05	0.35	0.99	0.24	1.49	0.22	0.61	1.23	0.14	0.35	0.01	0.7	0.13	0.87	1.07	0.46	0.44	0.45	2.02	0.07	0.11	0.44	0.19	1.3	0.416	0.386	0.934	0.662	0.221	0.427	0.415	0.551	0.271	0.829	0.331	0.381	0.823	0.397	0.14	0.1	0.14	0.14	0.16	0.16	0.17	0.14	0.17	0.15	0.15	0.12	0.17	0.12	0.24	0.29	0.17	0.18	0.12	0.13	0.38	0.33	0.24	0.26	0.21	0.14	0.28	0.29	0.17	0.17	0.09	0.07	0.18	0.2	0.19	0.18	0.16	0.14	0.21	0.16	0.19	0.13	0.2	0.17	0.16	0.18	0.13	0.16	0.16	0.12	0.11
Bacteroides heparinolyticus	0.06	0	0.27	0.04	0.38	0.37	0.21	0.05	0.14	0.36	0.01	0.43	0.24	0.02	0.02	0	0.29	0.01	0.18	0.01	0.15	0.12	0.2	0.15	0.07	0.32	0.31	0.04	0.1	0.01	0.27	0.03	0.43	0.14	0.13	0.09	0.35	0.22	0.03	0.04	0.05	0.06	0.37	0.251	0.049	0.478	0.49	0.136	0.248	0.21	0.258	0.151	0.387	0.197	0.18	0.665	0.257	0.11	0.09	0.12	0.13	0.13	0.13	0.12	0.11	0.13	0.11	0.13	0.1	0.14	0.1	0.16	0.19	0.14	0.13	0.09	0.09	0.21	0.2	0.16	0.16	0.14	0.12	0.2	0.18	0.1	0.1	0.07	0.07	0.11	0.12	0.12	0.11	0.15	0.13	0.17	0.13	0.14	0.12	0.16	0.12	0.12	0.15	0.09	0.11	0.13	0.11	0.07
Bacteroides sp. A1C1	0.73	0.03	0.49	3.07	4.76	2.99	3.77	0.92	0.43	0.74	0.83	3.93	2.25	0.37	0.48	0.11	0.69	1.18	1.53	0.22	2.75	1.32	0.43	0.83	5.04	1.97	2.21	0.94	0.82	0.1	0.54	2.2	2.4	2.82	2.62	0.73	0.49	0.74	3.12	0.34	1.31	1.76	2.021	0.433	0.518	2.493	2.217	0.755	0.528	0.906	1.495	1.506	2.58	0.14	0.613	1.784	1.43	0.12	0.09	0.12	0.12	0.16	0.15	0.15	0.12	0.15	0.13	0.14	0.11	0.14	0.11	0.16	0.19	0.19	0.22	0.11	0.11	0.24	0.21	0.16	0.18	0.19	0.12	0.19	0.18	0.13	0.13	0.08	0.06	0.11	0.12	0.13	0.13	0.14	0.12	0.18	0.13	0.16	0.11	0.15	0.14	0.14	0.15	0.13	0.15	0.13	0.1	0.09
Bacteroides xylanisolvens	0.31	0.04	1.62	1.09	1.46	4	1.28	0.53	0.38	2.25	0.47	1.6	1.19	0.41	0.16	0.04	2.2	0.48	0.56	0.07	1.92	0.89	0.48	0.95	2.21	0.8	0.8	0.65	0.77	0.04	1.6	2.7	0.93	0.66	2.42	0.62	0.48	0.76	0.98	0.17	0.36	1.63	1.385	0.492	1.587	4.463	1.168	1.543	0.514	0.539	7.252	0.735	0.659	0.727	0.959	1.105	0.466	0.12	0.09	0.12	0.13	0.16	0.15	0.15	0.13	0.2	0.16	0.15	0.12	0.15	0.1	3.25	4.06	0.19	0.23	0.11	0.11	3.8	3.96	2.92	2.94	0.18	0.12	2.84	2.78	1.4	1.43	0.3	0.33	1.07	1.24	1.13	1.01	0.14	0.12	0.18	0.14	0.16	0.12	0.87	0.14	0.13	1.65	0.11	0.13	0.14	0.1	0.09
Bacteroides zoogleoformans	0.05	0	0.25	0.03	0.36	0.29	0.21	0.03	0.15	0.32	0.02	0.41	0.19	0.02	0.02	0	0.26	0.02	0.17	0.01	0.15	0.1	0.21	0.14	0.06	0.31	0.25	0.04	0.09	0.01	0.26	0.04	0.39	0.1	0.11	0.08	0.37	0.2	0.02	0.05	0.04	0.05	0.252	0.288	0.035	0.392	0.405	0.115	0.278	0.237	0.209	0.108	0.306	0.228	0.161	0.519	0.197	0.09	0.07	0.1	0.11	0.11	0.1	0.1	0.09	0.11	0.1	0.11	0.09	0.12	0.08	0.16	0.19	0.11	0.11	0.08	0.09	0.23	0.22	0.16	0.17	0.13	0.11	0.2	0.19	0.11	0.11	0.06	0.07	0.11	0.12	0.12	0.11	0.11	0.1	0.15	0.11	0.13	0.1	0.14	0.11	0.11	0.14	0.08	0.1	0.12	0.09	0.07
Bacteroides coprosuis	0.01	0	0.13	0	0.09	0.06	0.04	0.01	0.12	0.15	0	0.11	0.04	0.01	0	0	0.12	0	0.03	0	0.04	0.02	0.13	0.06	0.01	0.08	0.03	0.01	0.04	0	0.16	0.01	0.09	0.03	0.03	0.03	0.38	0.11	0.01	0.02	0.01	0.01	0.024	0.161	0.017	0.064	0.071	0.009	0.148	0.145	0.064	0.019	0.027	0.087	0.05	0.045	0.057	0.04	0.03	0.04	0.04	0.05	0.05	0.05	0.04	0.05	0.04	0.04	0.04	0.05	0.03	0.05	0.05	0.04	0.05	0.04	0.04	0.06	0.06	0.04	0.04	0.06	0.04	0.05	0.05	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.04	0.04	0.06	0.05	0.05	0.04	0.05	0.05	0.05	0.04	0.04	0.04	0.04	0.03	0.03
Muribaculum sp. H5	0.01	0	0.09	0.01	0.06	0.05	0.04	0.01	0.07	0.11	0	0.07	0.03	0.01	0	0	0.09	0	0.02	0	0.03	0.02	0.1	0.05	0.01	0.05	0.03	0.01	0.03	0	0.11	0.01	0.06	0.03	0.02	0.02	0.2	0.07	0.01	0.01	0.01	0.01	0.027	0.128	0.009	0.106	0.038	0.008	0.134	0.068	0.067	0.019	0.06	0.14	0.084	0.017	0.044	2.04	1.63	2.19	2.28	2.26	2.13	1.88	1.84	2.37	2.33	2.14	1.79	2.73	1.9	1.46	1.25	2.72	2.46	1.49	1.56	1.58	1.64	1.18	1.11	2.24	2.52	2.76	1.61	0.96	0.98	1.88	1.67	1.47	1.26	1.38	1.32	2.73	2.42	3.44	2.41	2.94	2.29	3.06	2.56	2.04	2.38	1.7	2.53	2.33	1.77	2.05
Muribaculum sp. TLL-A4	0.01	0	0.14	0.02	0.04	0.06	0.05	0.01	0.04	0.16	0.02	0.04	0.03	0.01	0.01	0	0.12	0.02	0.02	0	0.04	0.03	0.06	0.07	0.03	0.03	0.03	0.01	0.04	0	0.15	0.04	0.05	0.02	0.02	0.03	0.12	0.1	0.02	0.01	0.01	0.02	0.017	0.187	0.005	0.094	0.052	0.007	0.187	0.063	0.032	0.023	0.071	0.171	0.087	0.027	0.24	1.61	1.27	1.81	1.76	1.76	1.7	1.42	1.42	1.74	1.75	1.65	1.39	2.15	1.49	1.07	0.83	2.16	1.91	1.23	1.45	1.08	1.15	3.8	3.36	1.82	2.05	2.66	2.17	33.23	33.39	55.44	37.88	38.39	35.48	31.44	33.26	2.23	1.97	2.81	1.89	2.44	13.22	2.39	2.11	1.7	1.67	1.58	2.36	1.89	1.42	27.7
Muribaculum intestinale	0.01	0	0.11	0.01	0.05	0.03	0.02	0.01	0.06	0.14	0	0.05	0.02	0	0.01	0	0.1	0	0.02	0	0.02	0.02	0.08	0.06	0.02	0.04	0.02	0	0.03	0	0.13	0.01	0.06	0.02	0.01	0.02	0.17	0.09	0.01	0.01	0.01	0.01	0.019	0.13	0.01	0.106	0.052	0.008	0.134	0.07	0.022	0.03	0.066	0.113	0.107	0.019	0.072	1.32	1.04	1.49	1.46	1.46	1.42	1.15	1.17	1.41	1.42	1.41	1.16	1.71	1.2	1.02	0.85	1.76	1.58	1	1.17	1.18	1.2	0.88	0.82	1.6	1.75	2.08	1.17	0.5	0.52	0.9	0.85	0.82	0.69	0.82	0.76	1.82	1.78	2.46	1.65	2.15	1.43	2.6	1.87	1.46	1.57	1.16	1.81	1.85	1.43	1.39
Duncaniella sp. C9	0	0	0	0	0.08	0.03	0	0	0	0	0	0.07	0	0	0	0	0	0	0.03	0	0.05	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.99	0.76	1.02	1.11	1.14	1.11	0.63	0.74	1.18	1.18	1.27	1.05	1.14	0.8	0.38	0.3	1.45	1.13	0.67	0.57	0.29	0.35	0.28	0.28	0.5	0.68	0.62	0.35	0.19	0.19	2.04	2.8	0.38	0.33	0.87	0.72	1.42	1.3	1.28	1.32	0.89	1.21	0.85	1.01	0.87	3.18	0.51	0.75	0.69	0.57	0.54
Duncaniella sp. B8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14	1.71	2.41	2.34	2.27	2.13	2.29	2.13	2.26	2.24	1.94	1.63	3.12	2.17	1.65	1.33	2.71	2.66	1.72	2.08	1.94	1.97	1.36	1.22	3.11	3.34	3.7	1.99	0.93	0.96	9.56	12.43	1.53	1.27	3.94	3.15	2.85	2.54	4.45	2.37	4.12	2.24	4.33	3.17	2.4	11.94	2.18	3.3	3.03	2.25	2.56
Alistipes shahii	0.95	0.01	2.47	0.47	2.37	4.61	0.09	1.61	0.08	3.59	0.05	0.72	1.33	0.03	0.85	0.04	3.21	0.08	1.02	0.11	0.04	1.57	0.14	2.72	0.57	1.07	0.72	0.03	1.5	0.02	1.78	0.29	2.43	1.04	0.11	2.24	0.12	2.91	0.23	0.11	0.44	0.07	0.599	1.111	0.086	1.184	0.427	0.338	1.411	0.45	0.081	2.09	0.228	0.135	0.388	0.088	2.04	1.69	1.34	0.81	3.5	3.56	3.36	2.97	2.58	3.36	2.96	1.92	1.81	2.15	2.03	1.24	1.45	2.45	1.81	1.71	1.87	0.8	0.83	0.83	0.9	3.43	1.69	0.76	1.07	1.07	1.11	1.5	2.77	1.52	2.05	1.77	1.57	1.55	1.78	2.5	1.49	3.43	1.16	0.9	1.39	1.32	1.47	1.66	1.7	1.84	1.05	0.87
Alistipes finegoldii	0.25	0.01	1.12	0.2	0.44	1.15	0.73	0.97	0.05	1.43	0.07	0.33	0.72	0.13	0.49	0.03	1.35	0.08	0.26	0.07	0.28	1.13	0.07	0.89	0.36	0.28	0.49	0.23	0.84	0.02	0.52	0.19	0.69	0.68	0.8	0.55	0.06	1.24	0.13	0.05	0.42	0.63	1.457	0.571	0.073	1.131	0.31	0.111	0.688	0.141	0.103	0.221	0.109	0.108	0.401	0.087	0.963	0.26	0.2	0.24	0.38	0.38	0.36	0.3	0.29	0.34	0.3	0.3	0.25	0.32	0.24	0.21	0.22	0.32	0.27	0.21	0.22	0.17	0.19	0.17	0.17	0.36	0.28	0.24	0.2	0.12	0.13	0.17	0.26	0.19	0.2	0.19	0.17	0.3	0.28	0.38	0.29	0.37	0.24	0.29	0.25	0.24	0.23	0.2	0.23	0.31	0.21	0.15
Alistipes sp. 6CPBBH3	0.12	0.01	1.12	0.33	0.78	3.04	0.05	0.29	0.07	1.53	0.05	0.33	1.48	0.01	0.08	0.02	1.61	0.08	0.43	0.13	0.05	0.24	0.08	1.84	0.6	0.23	0.55	0.01	0.07	0.01	0.51	0.16	0.68	0.43	0.03	0.19	0.04	0.95	0.11	0.04	0.34	0.02	0.404	0.356	0.035	0.193	0.109	0.047	0.398	0.113	0.055	0.134	0.066	0.119	0.076	0.028	0.651	0.36	0.28	0.39	0.38	0.41	0.29	0.38	0.35	0.42	0.4	0.35	0.31	0.46	0.33	0.18	0.17	0.45	0.42	0.29	0.32	0.2	0.2	0.13	0.14	0.44	0.4	0.34	0.21	0.1	0.1	0.17	0.11	0.16	0.12	0.14	0.14	0.47	0.41	0.6	0.42	0.52	0.38	0.48	0.43	0.37	0.31	0.3	0.41	0.37	0.27	0.31
Alistipes sp. Marseille-P5997	0.18	0	0.56	0.11	0.22	0.29	0.37	0.11	0.04	0.61	0.01	0.16	0.25	0.03	0.09	0.01	0.55	0.03	0.13	0.03	0.25	0.49	0.05	0.34	0.19	0.13	0.26	0.05	0.68	0.01	0.48	0.09	0.39	0.24	0.21	0.61	0.08	0.54	0.07	0.02	0.14	0.07	0.191	0.479	0.081	0.114	0.117	0.061	0.526	0.131	0.033	0.058	0.556	1.118	0.763	0.033	0.317	0.12	0.1	0.13	0.15	0.16	0.15	0.12	0.12	0.15	0.14	0.15	0.12	0.16	0.12	0.08	0.06	0.17	0.14	0.1	0.09	0.06	0.06	0.06	0.06	0.13	0.13	0.11	0.08	0.04	0.04	0.07	0.08	0.07	0.07	0.07	0.06	0.17	0.15	0.19	0.14	0.17	0.14	0.15	0.13	0.11	0.11	0.09	0.11	0.14	0.1	0.07
Alistipes sp. 5CPEGH6	0.08	0	0.33	0.15	0.14	0.33	0.02	0.13	0.02	0.33	0.02	0.07	0.27	0	0.06	0.01	0.44	0.04	0.11	0.04	0.01	0.16	0.03	0.35	0.26	0.05	0.25	0.01	0.15	0	0.23	0.14	0.32	0.27	0.02	0.25	0.04	0.47	0.09	0.01	0.16	0.01	0.267	0.382	0.043	0.263	0.175	0.034	0.448	0.024	0.139	0.037	0.081	0.073	0.152	0.065	0.433	0.07	0.06	0.08	0.09	0.1	0.09	0.07	0.07	0.09	0.08	0.09	0.07	0.09	0.07	0.05	0.04	0.1	0.08	0.06	0.05	0.04	0.04	0.04	0.04	0.07	0.08	0.08	0.05	0.02	0.02	0.04	0.05	0.04	0.04	0.04	0.04	0.11	0.1	0.11	0.09	0.1	0.08	0.11	0.07	0.06	0.07	0.05	0.06	0.09	0.07	0.04
Alistipes sp. 3BBH6	0.07	0	0.47	0.17	0.11	0.5	0.04	0.16	0	0.6	0.04	0.05	0.32	0.03	0.09	0	0.62	0.05	0.07	0.04	0.02	0.25	0.01	0.5	0.36	0.04	0.13	0.01	0.13	0	0.17	0.27	0.15	0.26	0.11	0.1	0.01	0.39	0.3	0.01	0.17	0.1	0.268	0.298	0.008	0.115	0.041	0.079	0.415	0.017	0.005	0.073	0.045	0.014	0.362	0.01	0.265	0.09	0.07	0.08	0.13	0.14	0.12	0.13	0.11	0.13	0.12	0.11	0.09	0.11	0.09	0.06	0.06	0.12	0.11	0.09	0.08	0.05	0.05	0.04	0.04	0.15	0.09	0.05	0.05	0.04	0.04	0.06	0.07	0.05	0.05	0.05	0.05	0.11	0.1	0.13	0.1	0.13	0.08	0.09	0.09	0.09	0.08	0.09	0.1	0.11	0.08	0.05
Alistipes sp. 5CBH24	0.21	0	0.58	0.2	0.55	1.1	0.03	0.84	0.03	0.73	0.03	0.2	0.64	0.01	0.17	0.01	0.79	0.05	0.23	0.07	0.03	0.86	0.04	0.79	0.36	0.12	0.25	0.01	0.11	0	0.25	0.09	0.39	0.21	0.02	0.22	0.02	0.47	0.07	0.03	0.16	0.02	0.297	0.238	0.011	0.048	0.045	0.022	0.258	0.013	0.069	0.056	0.018	0.019	0.044	0.012	0.205	0.07	0.05	0.05	0.08	0.09	0.07	0.08	0.07	0.09	0.08	0.07	0.06	0.08	0.06	0.06	0.07	0.08	0.07	0.06	0.05	0.06	0.06	0.05	0.05	0.09	0.06	0.07	0.06	0.04	0.04	0.04	0.04	0.04	0.04	0.05	0.04	0.08	0.07	0.09	0.07	0.1	0.06	0.07	0.06	0.06	0.07	0.06	0.06	0.07	0.05	0.04
Mucinivorans hirudinis	0	0	0.03	0	0.01	0.01	0	0	0.02	0.04	0	0.01	0.01	0	0	0	0.03	0	0.01	0	0	0.01	0.03	0.02	0	0.01	0.01	0	0.01	0	0.04	0	0.02	0.01	0	0.01	0.06	0.03	0	0	0	0	0.007	0.041	0.005	0.007	0.01	0.003	0.043	0.015	0.003	0.007	0.016	0.039	0.04	0.006	0.016	0.04	0.03	0.04	0.04	0.05	0.05	0.05	0.04	0.05	0.05	0.04	0.04	0.05	0.04	0.02	0.02	0.05	0.05	0.04	0.04	0.03	0.02	0.02	0.02	0.06	0.05	0.03	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.05	0.05	0.06	0.05	0.06	0.04	0.05	0.05	0.05	0.04	0.04	0.05	0.05	0.03	0.03
